ID,상호명,카테고리,지번주소,도로명주소,경도,위도,전화,URL
1308722720,북수리 제1공영주차장,"교통,수송 > 교통시설 > 주차장 > 공영주차장",충남 아산시 배방읍 북수리 1122,,127.06696025264924,36.77191321218979,,http://place.map.kakao.com/1308722720
1887691887,공수리 제3공영주차장,"교통,수송 > 교통시설 > 주차장 > 공영주차장",충남 아산시 배방읍 공수리 1655,충남 아산시 배방읍 배방로13번길 18,127.056182830411,36.7753772756626,041-531-6997,http://place.map.kakao.com/1887691887
1309040588,공수리 제2공영주차장,"교통,수송 > 교통시설 > 주차장 > 공영주차장",충남 아산시 배방읍 공수리 1495,충남 아산시 배방읍 배방로14번길 6,127.053593391468,36.7759155357218,041-531-6997,http://place.map.kakao.com/1309040588
215272107,모산로 노상공영주차장,"교통,수송 > 교통시설 > 주차장 > 공영주차장",충남 아산시 배방읍 공수리 550-20,,127.060326175914,36.7752085402635,,http://place.map.kakao.com/215272107
1587818065,배방 제3공영주차장 충전소 전기차충전소,"교통,수송 > 자동차 > 전기차 충전소",충남 아산시 배방읍 공수리 1655,충남 아산시 배방읍 배방로13번길 18,127.05618283041053,36.775377275662635,1899-2100,http://place.map.kakao.com/1587818065
1208336971,탕정지중해마을공영주차장,"교통,수송 > 교통시설 > 주차장 > 공영주차장",충남 아산시 탕정면 명암리 946-2,충남 아산시 탕정면 탕정면로8번길 70,127.062859663542,36.7967718062669,,http://place.map.kakao.com/1208336971
260316622,아산제2테크노밸리 제3공영주차장,"교통,수송 > 교통시설 > 주차장 > 공영주차장",충남 아산시 음봉면 신휴리 793,,127.064342893998,36.8994708888099,,http://place.map.kakao.com/260316622
1763064707,제2테크노밸리 3공영주차장 충전소 전기차충전소,"교통,수송 > 자동차 > 전기차 충전소",충남 아산시 음봉면 신휴리 792,충남 아산시 음봉면 아산밸리로 461,127.06485909039094,36.89957603656547,1899-2100,http://place.map.kakao.com/1763064707
27588474,아산테크노밸리 제1공영주차장,"교통,수송 > 교통시설 > 주차장 > 공영주차장",충남 아산시 둔포면 석곡리 1482,,127.06091590264387,36.91861648160753,,http://place.map.kakao.com/27588474
990478069,아산테크노밸리 제2공영주차장,"교통,수송 > 교통시설 > 주차장 > 공영주차장",충남 아산시 둔포면 석곡리 1480,,127.06247939916278,36.92298597691888,,http://place.map.kakao.com/990478069
571184673,아산테크노밸리 제2공영주차장 전기차충전소,"교통,수송 > 자동차 > 전기차 충전소",충남 아산시 둔포면 석곡리 1480,,127.06277819763064,36.92330570773337,1661-9408,http://place.map.kakao.com/571184673
